id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1260471213568266241,1260471213568266241,1589354730000,2020-05-13,09:25:30,W. Europe Daylight Time,19396431,oxfamireland,Oxfam Ireland,,"""The #coronavirus has shown us the importance of healthy, connected and resilient societies. We cannot achieve these goals over the long-term without collective #climateaction. Key climate events may be delayed, but the climate emergency is not.""  https://twitter.com/WorldResources/status/1258743753088610307 …",[],['https://twitter.com/WorldResources/status/1258743753088610307'],[],0,1,1,"['#coronavirus', '#climateaction']",[],https://twitter.com/OxfamIreland/status/1260471213568266241,False,https://twitter.com/WorldResources/status/1258743753088610307,0,,,,,,,"[{'user_id': '19396431', 'username': 'OxfamIreland'}]",,,,
1260468613070323714,1260468613070323714,1589354110000,2020-05-13,09:15:10,W. Europe Daylight Time,746356319075057664,cleantechhubng,Clean Tech Hub Nigeria,,"#DYK?... In 1839, Sir William Groove produced a fuel cell assembly based on Sulfuric acid and platinum electrodes, which was operated with hydrogen and oxygen to produce electrical energy!
.
.
.
#CleanTechHub
#CleanEnergy
#AlternativeEnergy
#EnergyAccess
#ClimateAction",[],[],[],1,1,3,"['#dyk', '#cleantechhub', '#cleanenergy', '#alternativeenergy', '#energyaccess', '#climateaction']",[],https://twitter.com/Cleantechhubng/status/1260468613070323714,False,,0,,,,,,,"[{'user_id': '746356319075057664', 'username': 'Cleantechhubng'}]",,,,
1260467397028429828,1260467397028429828,1589353820000,2020-05-13,09:10:20,W. Europe Daylight Time,1007249262336454657,esenvirosustain,EnviroSustain,,"Based on @UNEP's and @unschools' developed Anatomy of Action, we introduce you to fun applications that help you activate your sustainable lifestyle. First #sustainability hotspot up in our blog series is #food: 

 https://www.envirosustain.com/2020/05/12/apps-to-activate-your-sustainable-lifestyle-part-1-the-food-we-eat/ …
#ClimateAction
#ClimateCrisis","['unep', 'unschools']",['https://www.envirosustain.com/2020/05/12/apps-to-activate-your-sustainable-lifestyle-part-1-the-food-we-eat/'],[],0,3,4,"['#sustainability', '#food', '#climateaction', '#climatecrisis']",[],https://twitter.com/ESEnviroSustain/status/1260467397028429828,False,,0,,,,,,,"[{'user_id': '1007249262336454657', 'username': 'ESEnviroSustain'}, {'user_id': '38146999', 'username': 'UNEP'}, {'user_id': '2677400564', 'username': 'unschools'}]",,,,
1260466781707264006,1260465216556597254,1589353673000,2020-05-13,09:07:53,W. Europe Daylight Time,830331048223469568,monarijulius,MONARI OCHWANGI,,In solidarity with you comrade @florentmimart . Keep fighting and more sympathy for you. #Justice4Climate #AfricaMatters #KeepOilInSoil #ClimateAction #ClimateEmergency,"['florentmimart', 'emmanuelmacron', 'gretathunberg', 'fridays4future', 'kaohua3', 'savecongoforest', 'tomvermolen']",[],[],1,1,2,"['#justice4climate', '#africamatters', '#keepoilinsoil', '#climateaction', '#climateemergency']",[],https://twitter.com/Monarijulius/status/1260466781707264006,False,,0,,,,,,,"[{'user_id': '830331048223469568', 'username': 'Monarijulius'}, {'user_id': '1253624600350638080', 'username': 'florentmimart'}, {'user_id': '1976143068', 'username': 'EmmanuelMacron'}, {'user_id': '1006419421244678144', 'username': 'GretaThunberg'}, {'user_id': '1053768884732547072', 'username': 'Fridays4future'}, {'user_id': '1087723402226487297', 'username': 'KaoHua3'}, {'user_id': '1233486110875160577', 'username': 'SaveCongoForest'}, {'user_id': '1205202374765232130', 'username': 'TomVermolen'}]",,,,
1260466038392655875,1260466038392655875,1589353496000,2020-05-13,09:04:56,W. Europe Daylight Time,2877747077,eocengineers,EckersleyO'Callaghan,,"It's not too late to register for today's webinar with our structures director Toby Ronalds!  https://www.eocengineers.com/en/news/eckersley-ocallaghan-webinars … #sustainablearchitecture
#sustainableconstruction
#sustainablestructures
#sustainableengineering
#climateemergency
#climateaction  pic.twitter.com/IdVMIJhsV5",[],['https://www.eocengineers.com/en/news/eckersley-ocallaghan-webinars'],['https://pbs.twimg.com/media/EX4TJiiXkAE0txc.jpg'],0,1,1,"['#sustainablearchitecture', '#sustainableconstruction', '#sustainablestructures', '#sustainableengineering', '#climateemergency', '#climateaction']",[],https://twitter.com/EOCengineers/status/1260466038392655875,False,,0,,,,,,,"[{'user_id': '2877747077', 'username': 'EOCengineers'}]",,,,
1260465930896904200,1260465930896904200,1589353470000,2020-05-13,09:04:30,W. Europe Daylight Time,830443868,debbieanadapta,Debbie Mauger,,"In my #AnadaptaDiary - 20th May. The @ArchitectsCAN get togethers, where interested people are motivated into #ClimateAction. 

Great online events and the can-do attitude is contagious - it does what it says on the tin (or should that be ‘can’🤔)  https://twitter.com/JoeGiddings4/status/1260176260875145216 …",['architectscan'],['https://twitter.com/JoeGiddings4/status/1260176260875145216'],[],0,1,2,"['#anadaptadiary', '#climateaction']",[],https://twitter.com/DebbieAnadapta/status/1260465930896904200,False,https://twitter.com/JoeGiddings4/status/1260176260875145216,0,,,,,,,"[{'user_id': '830443868', 'username': 'DebbieAnadapta'}, {'user_id': '1127686884984016896', 'username': 'ArchitectsCAN'}]",,,,
1260465750327918592,1260465750327918592,1589353427000,2020-05-13,09:03:47,W. Europe Daylight Time,226310002,iam__network,IAM Platform,,"Covid-19 and climate change reshape infrastructure plans 

READ MORE:  https://blog.iammarketingmedia.com/covid-19-and-climate-change-reshape-infrastructure-plans/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#Adaptation #Antarctica #Arctic #CarbonDioxide #ClimateAction #ClimateChange #ClimateScience #climatology #Companies #Environment~",[],['https://blog.iammarketingmedia.com/covid-19-and-climate-change-reshape-infrastructure-plans/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter'],[],0,0,0,"['#adaptation', '#antarctica', '#arctic', '#carbondioxide', '#climateaction', '#climatechange', '#climatescience', '#climatology', '#companies', '#environment']",[],https://twitter.com/IAM__Network/status/1260465750327918592,False,,0,,,,,,,"[{'user_id': '226310002', 'username': 'IAM__Network'}]",,,,
1260465291961815041,1260437844306407424,1589353318000,2020-05-13,09:01:58,W. Europe Daylight Time,830331048223469568,monarijulius,MONARI OCHWANGI,,Solidarity comrades. We can #SaveCongoRainforest #SaveNature #ClimateAction #ClimateCrisis this is a commitment to save our common home.,['talk2_god'],[],[],0,0,0,"['#savecongorainforest', '#savenature', '#climateaction', '#climatecrisis']",[],https://twitter.com/Monarijulius/status/1260465291961815041,False,,0,,,,,,,"[{'user_id': '830331048223469568', 'username': 'Monarijulius'}, {'user_id': '758589954800754688', 'username': 'talk2_God'}]",,,,
1260464171558359040,1260464171558359040,1589353051000,2020-05-13,08:57:31,W. Europe Daylight Time,3599660183,robin_willing,Robin Willing,,"Positive news to start the day, #renewables continuing to rise. #ClimateAction #GreenRecovery https://twitter.com/guardianeco/status/1260438887928823808 …",[],['https://twitter.com/guardianeco/status/1260438887928823808'],[],0,1,1,"['#renewables', '#climateaction', '#greenrecovery']",[],https://twitter.com/robin_willing/status/1260464171558359040,False,https://twitter.com/guardianeco/status/1260438887928823808,0,,,,,,,"[{'user_id': '3599660183', 'username': 'robin_willing'}]",,,,
1260463280004517888,1260463280004517888,1589352838000,2020-05-13,08:53:58,W. Europe Daylight Time,1172177059302522881,climatesavior,ClimateSavior,,New disposable recycled coffee cup could save 200 million trees per year  https://www.climatesavior.com/2020/05/new-disposable-recycled-coffee-cup-could-save-200-million-trees-per-year/citizen-action/ … via @ClimateSavior #recycle #ClimateStrikeOnline #ClimateAction,['climatesavior'],['https://www.climatesavior.com/2020/05/new-disposable-recycled-coffee-cup-could-save-200-million-trees-per-year/citizen-action/'],[],0,0,1,"['#recycle', '#climatestrikeonline', '#climateaction']",[],https://twitter.com/ClimateSavior/status/1260463280004517888,False,,0,,,,,,,"[{'user_id': '1172177059302522881', 'username': 'ClimateSavior'}]",,,,
